,Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade,Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
279,PGR,58,"ESR1,ERBB2,FOS,SP1,RELA,NFIL3,KLF9,JUN,HOXA5,PIAS3,NCOR1,SUMO1,NCOR2,PRKACB,PRKACA,PIK3CA,MED1,NCOA1,HSP90AA1,STIP1,HSP90AB1,AR,PTGES3,NR3C1,PGR,NR3C2,HSPA8,HSPA2,HSPA1A,HSPA1L,HSPA1B,ACTR1A,MAPK3,MAPK1,DYNLL2,FOXA1,EP300,DYNLL1,TLE3,CAPZA1,NRIP1,DCTN1,FKBP5,ACTR10,GATA3,DYNC1LI2,DYNC1LI1,DYNC1I2,DCTN5,DYNC1H1,DYNC1I1,CAPZA3,DCTN6,DCTN3,NCOA3,SRC,UBE2I,FKBP4",328,"72,79,74,13,6,1,1,6,1,2,1,5,58,1,4,3,1","89,31,86,10,6,1,1,33,1,3,2,1,2,1,1,4,2,2,3,1,2,3,1,2,34,1,1,1,1,1,1,1,4,4,1,3,6,1,1,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,3,5,1,2",32,tumorsupressor,1,0,3,0.0472972972972973,1,PGR,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Repression,6,5,1,0,0,,,,,34,
280,ELF3,2,"MMP9,CLDN7",135,"81,54","32,5",0,TF,0,0,1,0.12962962962962962,1,ELF3,TF,"Transcription regulation, Proliferation of cells",None Found,Unknown,2,1,0,0,1,,,,,2,
281,CDH1,1,ESR1,72,72,89,0,"oncogene, tumorsupressor",0,0,0,,0,CDH1,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,55,15,2,38,0,,,,,3,
282,KRT19,54,"ESR1,SP1,KLF4,MAPK11,MAPK14,EPCAM,KRT79,KRT4,KRT78,KRT6B,KRT73,KRT77,KRT72,KRT85,KRT6A,KRT82,KRT3,KRT2,KRT6C,KRT17,KRT80,KRT74,KRT81,KRT28,KRT76,KRT71,KRT15,KRT1,KRT5,KRT14,KRT86,KRT84,KRT32,KRT38,KRT16,KRT75,KRT8,KRT7,KRT37,KRT40,KRT83,KRT36,KRT13,KRT26,KRT23,KRT9,KRT10,KRT24,KRT34,KRT12,KRT18,KRT19,KRT20,KRT33A",195,"72,13,2,54,54","89,10,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,3,6,2,2",4,,0,0,5,,0,KRT19,None Found,Proliferation of cells,None Found,None Found,5,3,1,1,0,,,,,6,
283,CLDN7,54,"RUNX3,HDAC1,ELF3,CTBP1,ING1,RPL23,M1AP,PI4K2B,PKP3,PRSS8,SPINT1,ST14,TACSTD2,CD81,SCARB1,CCDC102A,CDH1,EPCAM,KRT19,KRT18,RAB25,KRT8,SNAI1,CLDN12,CLDN23,CLDN14,CLDN16,CLDN5,CLDN6,CLDN2,CLDN19,CLDN3,CLDN9,CLDN10,CLDN4,CLDN18,CLDN8,CLDN15,CLDN1,CLDN17,CLDN22,CLDN7,CLDN20,OCLN,ESAM,CLDN25,TJP1,CLDN24,F11R,TJP3,TJP2,WNK4,MARVELD2,CLDN11",120,"2,6,2,1,1,54,54","2,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,6,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1",44,,2,3,7,0.12962962962962962,1,CLDN7,None Found,"Apoptosis, Proliferation of cells",0.4289850751,None Found,None Found,None Found,None Found,None Found,None Found,,,,,5,
284,CREM,2,"FOS,PLAT",74,74,"86,9",0,TF,0,0,1,0.0945945945945946,1,CREM,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,5,2,1,0,2,,,,,1,
285,FOXA1,1,FOS,74,74,86,0,oncogene,0,0,1,0.0945945945945946,1,FOXA1,Oncogene,"Transcription regulation, Proliferation of cells",None Found,None Found,22,22,0,0,0,,,,,3,
286,GATA3,3,"ESR1,DLC1,MUC1",183,"72,52,59","89,2,10",0,cigene,0,0,0,,0,GATA3,Cigene,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Activation,18,12,1,4,1,,,,,5,
287,YY1,2,"ERBB2,SERPINE1",150,"79,71","31,24",0,oncogene,0,0,0,,0,YY1,Oncogene,Transcription regulation,None Found,Repression,1,1,0,0,0,,,,,4,
288,DUSP1,1,PGR,58,58,34,0,,0,0,0,,0,DUSP1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",-2.450636542,None Found,3,1,1,0,1,,,,,1,
289,ETS1,2,"MMP9,EGR1",147,"81,66","32,106",0,"oncogene, tumorsupressor, cigene",0,0,1,0.13636363636363635,1,ETS1,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,11,2,5,0,4,,,,,3,
290,STAT5A,1,ESR1,72,72,89,0,tumorsupressor,0,0,0,,0,STAT5A,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,12,7,2,2,1,,,,,2,
291,CREB1,4,"ERBB2,FOS,PLAT,JUN",159,"79,74,6","31,86,9,33",0,oncogene,0,0,1,0.0945945945945946,1,CREB1,Oncogene,Cell Signaling,None Found,Unknown,3,1,1,0,1,,,,,2,
292,IL6,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,IL6,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",-3.692904801,None Found,4,2,0,0,2,,,,,2,
293,STAT5B,1,ESR1,72,72,89,0,TF,0,0,0,,0,STAT5B,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,7,4,1,1,1,,,,,2,
294,ESR1,72,"ESR1,KRT19,SERPINE1,FOS,PGR,ID4,XBP1,TWIST1,TP53,TFAP2C,STAT5B,STAT5A,SP1,RUNX2,PIAS3,NR2E3,NKX3-1,NCOR1,MTA1,MECP2,LEF1,KDM4B,HDAC9,HDAC7,HDAC1,GATA3,BRCA1,BARX2,BARD1,ARNT,NCOA7,NCOA2,PHB2,CCNT1,KDM1A,CARM1,NR0B2,PELP1,ZNF217,PPARGC1A,JUN,MAPK3,SMAD3,HSP90AA1,STAT1,SRC,IGF1,TERT,NCOR2,HSP90AB1,IGF1R,NRIP1,AKT1,CCND1,GAPDH,SMAD4,NOS3,PIK3CA,STK11,NCOA3,MED1,NCOA1,BCAR1,STUB1,MAPK1,MYC,EP300,CREBBP,FOXA1,TFF1,GREB1,JUNB",474,"72,54,71,74,58,52,1,2,4,2,1,1,13,1,2,1,2,1,2,1,2,1,1,1,6,3,5,1,1,3,1,1,6,3,2,1,4,3,1,1,4,4,1,1,1,1","89,6,24,86,34,6,1,2,5,2,2,2,10,1,3,1,3,2,3,1,2,1,1,2,6,5,5,1,1,2,1,1,1,1,2,1,2,1,1,1,33,4,4,3,3,5,3,1,2,2,1,2,2,2,1,2,1,4,1,3,2,2,1,2,4,1,6,1,3,1,1,9",26,TF,6,5,2,0.0472972972972973,1,ESR1,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,9,3,3,1,2,,,,,89,
295,SP1,13,"BIRC5,MMP9,KRT5,ESR1,ERBB2,KRT19,SERPINE1,EGR1,FOS,PGR,PLAT,ID4,KRT14",735,"74,81,54,72,79,54,71,66,74,58,52","26,32,5,89,31,6,24,106,86,34,9,6,4",0,TF,0,0,3,0.28419328419328416,3,SP1,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,5,3,1,0,1,,,,,10,
296,RELA,6,"BIRC5,MMP9,SERPINE1,EGR1,PGR,JUNB",351,"74,81,71,66,58,1","26,32,24,106,34,9",0,cigene,0,0,2,0.378992628992629,2,RELA,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,1,1,0,0,0,,,,,6,
297,ELK1,2,"ERBB2,FOS",153,"79,74","31,86",0,oncogene,0,0,1,0.0945945945945946,1,ELK1,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,8,4,4,0,0,,,,,2,
298,ETS2,2,"MMP9,EGR1",147,"81,66","32,106",0,oncogene,0,0,1,0.13636363636363635,1,ETS2,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,7,5,1,1,0,,,,,3,
299,ESR2,3,"SERPINE1,FOS,JUN",151,"71,74,6","24,86,33",0,"oncogene, tumorsupressor, cigene",0,0,1,0.0945945945945946,1,ESR2,"Cigene, Tumorsupressor, Oncogene",Cell Signaling,None Found,Unknown,6,4,0,0,2,,,,,2,
300,CCND1,4,"ESR1,EGR1,FOS,PGR",270,"72,66,74,58","89,106,86,34",0,"oncogene, cigene",0,0,2,0.11547911547911548,2,CCND1,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,0,0,1,,,,,2,
301,TNF,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,TNF,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,2,
302,JUND,2,"ERBB2,PLAT",79,79,"31,9",0,oncogene,0,0,0,,0,JUND,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,None Found,None Found,None Found,None Found,None Found,,,,,5,
303,EP300,4,"BIRC5,MMP9,ERBB2,EGR1",300,"74,81,79,66","26,32,31,106",0,TF,0,0,2,0.378992628992629,2,EP300,TF,Cell Signaling,None Found,Unknown,17,9,3,3,2,,,,,6,
304,CDK5R1,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,CDK5R1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,1,0,0,,,,,2,
305,FOS,74,"MMP9,FOS,PGR,ESR1,ZBTB7A,TWIST2,TWIST1,TBP,STAT6,STAT3,SRF,SP1,SMARCA4,RBMX,RB1,NKX3-1,NF1,NCOA6,MITF,JUN,HSF2,HOPX,HMGN1,HDAC1,GTF2I,ESR2,ELK4,ELK1,CREM,CREB1,BRCA1,ARNT,AHR,TNFRSF11A,NFATC3,NFATC2,FOXA1,HIST1H2BA,H2AFZ,GATA3,MAPK10,MAPK9,YY1,DUSP1,MAPK3,ETS1,STAT5A,SMAD3,TP53,IL6,ATF2,STAT5B,EGR1,NR3C1,RELA,MAPK8,TGFB1,ETS2,TNFSF11,MAPK14,CCND1,TNF,JUND,CCL2,HMOX1,EP300,PPARG,NOTCH1,NFATC1,FOSB,GATA2,CEBPA,JUNB,MAPK1",472,"81,74,58,72,1,1,2,1,2,5,2,13,1,4,2,2,2,1,1,6,1,1,1,6,1,3,1,2,2,4,5,3,1,1,3,2,1,2,1,3,4,1,2,1,66,6,2,4,1,2,4,3,1","32,86,34,89,1,1,2,1,3,5,2,10,1,2,2,3,1,1,1,33,1,1,1,6,1,2,1,2,1,2,5,2,1,1,2,2,3,1,1,5,1,1,4,1,4,3,2,4,5,2,2,2,106,2,6,2,2,3,1,2,2,2,5,1,1,6,4,2,2,2,1,1,9,4",25,"oncogene, cigene",2,4,7,0.31285831285831284,4,FOS,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",-3.261178455,Unknown,3,1,1,0,1,,,,,86,
306,JUNB,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,JUNB,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,1,0,0,,,,,9,
307,HDAC1,6,"BIRC5,MMP9,ESR1,EGR1,FOS,CLDN7",421,"74,81,72,66,74,54","26,32,89,106,86,5",0,oncogene,0,0,4,0.24555237055237056,4,HDAC1,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,10,3,4,2,1,,,,,6,
308,TP53,4,"BIRC5,ESR1,EGR1,FOS",286,"74,72,66,74","26,89,106,86",0,tumorsupressor,0,0,3,0.28419328419328416,3,TP53,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,264,198,4,59,3,,,,,5,
309,MTA1,2,"MMP9,ESR1",153,"81,72","32,89",0,TF,0,0,0,,0,MTA1,TF,"Transcription regulation, Proliferation of cells",None Found,Repression,None Found,None Found,None Found,None Found,None Found,,,,,3,
310,JUN,6,"MMP9,FOS,PGR,ESR1,PLAT,JUN",291,"81,74,58,72,6","32,86,34,89,9,33",0,"oncogene, cigene",0,0,1,0.0945945945945946,1,JUN,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,1,0,0,0,1,,,,,33,
311,SNAI2,1,MMP9,81,81,32,0,TF,0,0,0,,0,SNAI2,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,1,0,0,0,1,,,,,2,
312,PPARG,3,"MMP9,SERPINE1,EGR1",218,"81,71,66","32,24,106",0,"oncogene, tumorsupressor, cigene",0,0,1,0.13636363636363635,1,PPARG,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",-3.620634432,Unknown,5,5,0,0,0,,,,,4,
313,IRF1,1,MMP9,81,81,32,0,tumorsupressor,0,0,0,,0,IRF1,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,2,1,0,0,1,,,,,2,
314,HDAC7,1,ESR1,72,72,89,0,TF,0,0,0,,0,HDAC7,TF,Proliferation of cells,None Found,Repression,2,0,1,0,1,,,,,2,
315,EGR1,66,"TP53,STAT6,STAT1,SP1,RELA,RBMX,NKX2-3,NFKB1,NAB2,MAML1,KLF5,HDAC1,FOXO1,ETS2,ETS1,BRCA1,ATF5,NFATC2,NFATC3,IRF8,IRF4,IRF2,STAT2,ISG15,IRF7,OASL,MX1,IFIT1,IFIT2,IRF5,IFI6,IFIT3,CDK5R1,FOS,MAPK3,IRF3,NFATC1,FOSB,JUNB,RNASEL,MAPK1,HDAC2,HDAC3,KDM1A,RBBP7,RBBP4,NR2E1,EZH2,RCOR1,HDAC5,MTA1,CHD4,CHD3,JUN,ATF2,EED,MTA3,EGR1,REST,SUZ12,SNAI1,SNAI2,PPARG,PHC3,IRF1,HDAC7",220,"4,2,2,13,6,4,1,6,1,1,4,6,1,2,2,5,1,1,74,1,1,2,6,2,66,1,3,1,1","5,3,3,10,6,2,1,4,1,1,4,6,1,3,3,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,86,4,1,2,2,9,1,4,1,1,2,1,1,1,2,1,1,3,1,1,33,2,1,1,106,1,1,2,2,4,1,2,2",34,tumorsupressor,4,1,9,0.1880971880971881,3,EGR1,Tumorsupressor,"Apoptosis, Proliferation of cells",-3.444520788,None Found,3,1,2,0,0,,,,,106,
316,ARNTL2,1,SERPINE1,71,71,24,0,TF,0,0,0,,0,ARNTL2,TF,"Transcription regulation, Proliferation of cells",None Found,Activation,1,1,0,0,0,,,,,1,
317,VEGFA,3,"ESR1,EGR1,PGR",196,"72,66,58","89,106,34",0,tumorsupressor,0,0,1,0.13636363636363635,1,VEGFA,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,0,0,0,4,,,,,3,
318,FN1,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,FN1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",4.232064555,None Found,22,10,6,1,5,,,,,1,
319,PDGFB,1,EGR1,66,66,106,0,oncogene,0,0,1,0.13636363636363635,1,PDGFB,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,3,1,0,0,2,,,,,1,
320,IGF2,1,EGR1,66,66,106,0,oncogene,0,0,1,0.13636363636363635,1,IGF2,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,0,0,1,,,,,1,
321,SMAD3,3,"MMP9,SERPINE1,JUN",158,"81,71,6","32,24,33",0,tumorsupressor,0,0,0,,0,SMAD3,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,2,2,0,0,0,,,,,4,
322,PLAU,2,"EGR1,FOS",140,"66,74","106,86",0,,0,0,2,0.11547911547911548,2,PLAU,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,0,1,0,1,,,,,1,
323,PLAUR,2,"EGR1,FOS",140,"66,74","106,86",0,cigene,0,0,2,0.11547911547911548,2,PLAUR,Cigene,"Apoptosis, Proliferation of cells",3.045628499,None Found,2,2,0,0,0,,,,,1,
324,SMAD7,2,"FOS,KRT14",74,74,"86,4",0,TF,0,0,1,0.0945945945945946,1,SMAD7,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,2,1,0,0,1,,,,,1,
325,SMAD4,3,"SERPINE1,FOS,JUN",151,"71,74,6","24,86,33",0,tumorsupressor,0,0,1,0.0945945945945946,1,SMAD4,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,8,3,0,3,2,,,,,2,
326,SERPINE1,71,"ESR1,YY1,USF1,TGIF1,SRF,SP1,SMAD4,SMAD3,RELA,PPARG,PPARA,PARP1,NR4A1,NR0B2,NFKB1,KLF5,KLF10,HSF1,HIF1A,ESR2,EPAS1,E2F1,ARNTL2,CLOCK,ARNTL,VLDLR,ITGAV,ITGB3,TGFB1,THBS1,EGF,SERPINE1,VEGFA,FN1,PLG,HGF,ALB,IGF1,A2M,SPARC,VWF,TGFB2,PF4,VEGFC,TGFB3,PDGFB,IGF2,PPBP,KNG1,AHSG,CFD,SERPINF2,SRGN,PROS1,F13A1,ORM1,ACTN4,F8,FGB,FGA,FGG,HRG,F5,PLAU,PLAUR,PLAT,SMAD2,LRP1,VTN,SMAD7,TIMP1",221,"72,2,2,1,2,13,3,3,6,3,2,2,1,1,6,4,1,2,3,3,1,4,1,71,3,1,1,1,2,2,2","89,4,1,1,2,10,2,4,6,4,2,1,1,2,4,4,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,24,3,1,2,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,2",45,,4,3,8,0.6458333333333334,4,SERPINE1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,12,3,4,2,3,,,,,24,
327,EGFR,3,"ESR1,EGR1,PGR",196,"72,66,58","89,106,34",0,"oncogene, cigene",0,0,1,0.13636363636363635,1,EGFR,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,17,9,6,0,2,,,,,2,
328,STAT3,5,"BIRC5,MMP9,MUC1,FOS,JUNB",289,"74,81,59,74,1","26,32,10,86,9",0,"oncogene, tumorsupressor, cigene",0,0,2,0.3581081081081081,2,STAT3,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,8,7,1,0,0,,,,,5,
329,MUC1,59,"ZEB1,STAT3,PIAS4,PIAS3,PIAS2,PIAS1,HIF1A,GATA3,AR,ST3GAL4,EGFR,CLEC10A,ST3GAL2,ST6GALNAC4,ST3GAL1,ST3GAL3,ST6GALNAC3,GALNT13,GALNT18,ST6GALNAC2,MUC1,MUC16,MUC5B,MUC5AC,MUC4,MUC6,MUC7,MUC20,MUC13,MUC12,MUC17,MUC3A,MUC21,MUC15,MUCL1,B3GNT3,GCNT1,B3GNT6,C1GALT1,C1GALT1C1,GALNT6,GALNT4,GALNT15,GALNT7,GALNT3,GCNT3,GALNT5,GALNT8,GALNT10,GALNT12,GALNT2,GALNT14,GALNT16,GALNT1,GALNT9,GALNTL6,GALNTL5,GALNT11,ST6GAL1",85,"2,5,1,2,1,1,3,3,5,3,59","1,5,1,3,1,1,2,5,3,1,2,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",52,"oncogene, tumorsupressor",2,1,2,,0,MUC1,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,2,2,0,1,,,,,10,
330,ATF2,2,"PLAT,JUN",6,6,"9,33",0,Activation,0,0,0,,0,ATF2,Tumorsupressor,None Found,None Found,Activation,7,6,0,0,1,,,,,2,
331,WT1,2,"JUNB,JUN",7,"1,6","9,33",0,"TF, oncogene",0,0,0,,0,WT1,Oncogene,"Apoptosis, Proliferation of cells",13.34718918,Unknown,8,2,2,0,4,,,,,0,
332,ABL1,1,JUN,6,6,33,0,"Activation, oncogene",0,0,0,,0,ABL1,"Activation, Oncogene","Apoptosis, Proliferation of cells",None Found,Activation,7,4,1,1,1,,,,,0,
333,GLI1,1,JUN,6,6,33,0,"TF, cigene, oncogene",0,0,0,,0,GLI1,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,Unknown,5,4,1,0,0,,,,,0,
334,GLI2,1,JUN,6,6,33,0,"TF, oncogene",0,0,0,,0,GLI2,Oncogene,"Apoptosis, Proliferation of cells",None Found,Unknown,12,8,3,0,1,,,,,0,
335,HDAC3,1,JUN,6,6,33,0,Repression,0,0,0,,0,HDAC3,Repression,None Found,None Found,Repression,4,1,1,0,2,,,,,1,
336,HDAC4,1,JUN,6,6,33,0,Activation,0,0,0,,0,HDAC4,Activation,"Apoptosis, Proliferation of cells",None Found,Activation,7,4,2,0,1,,,,,0,
337,MEF2A,1,JUN,6,6,33,0,Activation,0,0,0,,0,MEF2A,Activation,Apoptosis,None Found,Activation,5,3,0,0,2,,,,,0,
338,MEF2C,1,JUN,6,6,33,0,"Activation, oncogene",0,0,0,,0,MEF2C,"Activation, Oncogene","Apoptosis, Proliferation of cells",None Found,Activation,9,3,1,1,4,,,,,0,
339,MEF2D,1,JUN,6,6,33,0,Activation,0,0,0,,0,MEF2D,Activation,"Apoptosis, Proliferation of cells",None Found,Activation,2,2,0,0,0,,,,,0,
340,NFIC,1,JUN,6,6,33,0,TF,0,0,0,,0,NFIC,TF,"Apoptosis, Proliferation of cells",None Found,Unknown,2,1,0,1,0,,,,,0,
341,NFRKB,1,JUN,6,6,33,0,Activation,0,0,0,,0,NFRKB,Activation,None Found,None Found,Activation,5,5,0,0,0,,,,,0,
342,PITX1,1,JUN,6,6,33,0,Repression,0,0,0,,0,PITX1,Repression,morbidity or mortality,4.212824238,Repression,None Found,None Found,None Found,None Found,None Found,,,,,0,
343,RUNX1,1,JUN,6,6,33,0,"Activation, oncogene",0,0,0,,0,RUNX1,"Activation, Oncogene","Apoptosis, Proliferation of cells",None Found,Activation,21,14,2,3,2,,,,,0,
344,TNFAIP3,1,JUN,6,6,33,0,Repression,0,0,0,,0,TNFAIP3,Repression,"Apoptosis, Proliferation of cells",None Found,Repression,7,3,3,1,0,,,,,0,
345,ZNF382,1,JUN,6,6,33,0,"Repression, tumorsupressor",0,0,0,,0,ZNF382,"Repression, Tumorsupressor",None Found,None Found,Repression,6,4,1,1,0,,,,,0,
346,ZNF383,1,JUN,6,6,33,0,Repression,0,0,0,,0,ZNF383,Repression,None Found,None Found,Repression,4,2,1,1,0,,,,,0,
347,MEN1,1,JUND,2,2,5,0,Repression,0,0,0,,0,MEN1,Repression,"Apoptosis, Proliferation of cells",None Found,Repression,9,5,2,1,1,,,,,0,
348,ZIC1,1,JUND,2,2,5,0,Activation,0,0,0,,0,ZIC1,Activation,"Apoptosis, Proliferation of cells",None Found,Activation,4,2,1,0,1,,,,,0,
