,Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade
249,MMP9,81,"TFAP2A,STAT3,STAT1,SPDEF,SP2,SP1,SNAI2,SMAD3,SIRT1,RUNX3,RELA,PPARG,PPARA,NFKBIA,NFKB1,MTA1,MAZ,KLF8,KLF6,KLF5,JUN,IRF1,IKBKB,HDAC1,FOS,ETS2,ETS1,EP300,ELF4,ELF3,CIITA,SCUBE3,EPHB1,SDC4,TIMP3,SRC,ITGB2,CTSS,TNFAIP6,TIMP2,CHIT1,OSCAR,IDH1,LTA4H,EPHB2,OLFM4,MMP3,VEGFA,PLG,MMP10,CST3,STAT6,MMP7,CD44,ACAN,CXCL1,COL18A1,EDN1,CDH1,PTX3,NID1,HP,HBEGF,B2M,TIMP1,MMP9,LYZ,MMP1,PRSS3P2,CAMP,THBS1,PPBP,MMP8,CXCL8,CTSD,LTF,SDC1,A2M,TNF,ITGAM,CTSG",253,"3,5,2,1,1,13,1,3,1,2,6,3,2,1,6,2,1,1,1,4,6,1,1,6,74,2,2,4,1,2,1,1,3,2,1,1,81,1,2,1,1","3,5,3,1,1,10,2,4,1,2,6,4,2,1,4,3,1,1,1,4,33,2,1,6,86,3,3,6,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,3,1,2,1,1,1,1,3,1,1,2,2,1,2,32,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1",46,cigene,10,3,,,
250,HLTF,1,PGR,58,58,34,0,tumorsupressor,0,0,,,
251,NKX3-1,2,"ESR1,FOS",146,"72,74","89,86",0,tumorsupressor,0,0,,,
252,TCF7L2,1,BIRC5,74,74,26,0,"oncogene, tumorsupressor, cigene",0,0,,,
253,GDNF,1,EGR1,66,66,106,0,,0,0,,,
254,TCF4,3,"BIRC5,EGR1,JUN",146,"74,66,6","26,106,33",0,tumorsupressor,0,0,,,
255,ID3,1,EGR1,66,66,106,0,TF,0,0,,,
256,ID4,52,"ESR1,BLCAP,C10ORF142,GPR17,HLTF,GRHL3,ABCC3,GFAP,NKX3-1,ESM1,SRI,BRCA1,TRIM21,TCF7L2,POU3F1,NKX2-2,GDNF,NANOS2,GFRA1,SOHLH1,BCL6B,OLIG2,OLIG1,ZBTB16,SOX10,SOX2,NEUROG3,HEY2,HES5,NEUROG1,HES1,TCF4,TCF3,MYOD1,MYOG,MYRF,ID3,ID2,MYF6,EZH2,NOTCH1,PTEN,WNT5A,SOX4,YY1,CDC42,MMP2,CEBPB,BCL3,TP53,ID4,FKBP4",145,"72,1,2,5,1,1,3,1,1,2,4,52","89,1,1,1,1,1,1,1,3,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,3,1,1,1,5,6,2",39,"oncogene, tumorsupressor, cigene",7,3,,,
257,NGF,1,FOS,74,74,86,0,,0,0,,,
258,NTF3,1,FOS,74,74,86,0,,0,0,,,
259,NTRK2,51,"GIPC1,ADCYAP1R1,CDK5R1,RIT2,RIT1,DYNLT1,DOCK3,SH2B1,ADCYAP1,STAT3,CDH2,CDK5,CTNND1,CTNNB1,KRAS,NRAS,CTNNA1,RAP1A,FRS3,TIAM1,RAP1B,SRC,GAB1,FRS2,PTPN11,GRIN2B,RASA1,EHD4,NGF,BDNF,NTF3,NTRK1,NTF4,NTRK2,SHC1,GRB2,HRAS,PLCG1,SOS1,PIK3R1,RAC1,PIK3CA,CDC42,IGF1,SHC3,SHC2,CRK,CRKL,SHC4,KIDINS220,NGFR",62,"1,5,3,1,1,51","1,1,2,1,1,1,1,1,1,5,1,1,1,3,2,2,1,1,1,1,1,5,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,3,3,1,1,1,1,1,1,1",32,,5,1,,,
260,NR0B2,1,SERPINE1,71,71,24,0,tumorsupressor,0,0,,,
261,PELP1,1,ESR1,72,72,89,0,oncogene,0,0,,,
262,STAT1,2,"MMP9,EGR1",147,"81,66","32,106",0,tumorsupressor,0,0,,,
263,TERT,1,ESR1,72,72,89,0,cigene,0,0,,,
264,BCAR1,1,EGR1,66,66,106,0,,0,0,,,
265,MYC,4,"ESR1,FOS,PGR,JUNB",205,"72,74,58,1","89,86,34,9",0,"oncogene, cigene",0,0,,,
266,TFF1,1,ESR1,72,72,89,0,,0,0,,,
267,GREB1,1,ESR1,72,72,89,0,,0,0,,,
268,BRCA1,5,"KRT5,ESR1,EGR1,FOS,ID4",318,"54,72,66,74,52","5,89,106,86,6",0,tumorsupressor,0,0,,,
269,TFAP2C,2,"ESR1,ERBB2",151,"72,79","89,31",0,TF,0,0,,,
270,PTEN,1,EGR1,66,66,106,0,tumorsupressor,0,0,,,
271,DLC1,52,"GATA3,TENC1,TNS3,TRAF3IP3,GPM6B,HP,TLN2,SYN3,ZNF12,FBXW5,STARD7,RASA1,STARD6,STARD4,STARD5,ACOT12,COL4A3BP,ACOT11,STARD9,SPG20,PCTP,PRKD1,TNS4,RTKN,PTEN,CAV1,RHOD,RHOBTB1,RHOT1,RHOBTB2,RHOF,RAC3,RHOH,RHOJ,RHOT2,RAC1,RHOG,RHOQ,RHOU,RHOV,RHOA,DLC1,TLN1,AKT1,CDC42,CDH1,CDK6,PLCD1,RHOB,RHOC,RAC2,TNS1",57,"3,1,52,1","5,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,3,3,1,1,1,2,1,1",41,tumorsupressor,4,1,,,
272,TGFA,1,ESR1,72,72,89,0,,0,0,,,
273,CTNNB1,3,"BIRC5,ESR1,JUN",152,"74,72,6","26,89,33",0,"oncogene, cigene",0,0,,,
274,KRT5,54,"TFAP2A,SP1,BRCA1,KRT79,KRT4,KRT78,KRT6B,KRT77,KRT72,KRT6A,KRT82,KRT3,KRT2,KRT6C,KRT17,KRT80,KRT74,KRT81,KRT28,KRT25,KRT76,KRT35,KRT71,KRT15,KRT1,KRT5,KRT14,KRT86,KRT84,KRT32,KRT27,KRT38,KRT33B,KRT16,KRT75,KRT8,KRT7,KRT37,KRT39,KRT40,KRT36,KRT13,KRT26,KRT31,KRT23,KRT9,KRT10,KRT24,KRT34,KRT12,KRT18,KRT19,KRT20,KRT33A",129,"3,13,5,54,54","3,10,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,5,4,2,2,2,1,2,1,2,2,3,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,6,2,2",6,,0,0,,,
275,PIAS3,2,"ESR1,MUC1",131,"72,59","89,10",0,TF,0,0,,,
276,NCOR1,1,ESR1,72,72,89,0,TF,0,0,,,
277,ERBB2,79,"YY1,YBX1,XRCC6,XRCC5,WWP1,VDR,TFAP2C,TFAP2B,TFAP2A,SP4,SP3,SP1,PURA,PGR,PAX2,NCOA3,MYB,JUND,GATA4,GABPA,FOXP3,ETV4,EP300,ELK1,ELF1,ECD,CREB1,ATF7,ATF1,AR,PLXNB1,SEMA4D,GRB7,ERRFI1,TFF3,AREG,BTC,EREG,ADAM17,NRG1,NRG2,NRG3,PTK6,MEMO1,PTPN12,IL6,TGFA,CD44,MAPK8,HBEGF,PIK3CA,SHC1,PIK3R1,ERBB3,PTPN11,SOS1,FYN,RHOA,JAK2,PLCG1,RHOC,PLCG2,HRAS,KRAS,NRAS,CTNNB1,VEGFA,PIK3R2,HSP90AA1,ERBB2IP,PTK2,STUB1,ERBB2,EGFR,EGF,SRC,GAB1,GRB2,PTPN18",211,"2,1,1,1,1,1,2,1,3,2,4,13,1,58,1,1,2,2,1,1,2,1,4,2,1,1,4,1,1,5,1,1,3,3,79,3","4,1,1,1,1,1,2,1,3,2,2,10,1,34,1,3,1,5,1,1,1,1,6,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,4,2,2,1,2,2,1,2,1,2,2,1,2,2,2,3,3,1,3,1,1,2,31,2,2,5,2,2,1",41,"oncogene, cigene",11,6,,,
278,AR,5,"ERBB2,MUC1,ESR1,EGR1,JUN",282,"79,59,72,66,6","31,10,89,106,33",0,"oncogene, cigene",0,0,,,
279,NCOA3,1,ERBB2,79,79,31,0,"oncogene, cigene",0,0,,,
280,PGR,58,"ESR1,ERBB2,FOS,SP1,RELA,NFIL3,KLF9,JUN,HOXA5,PIAS3,NCOR1,SUMO1,NCOR2,PRKACB,PRKACA,PIK3CA,MED1,NCOA1,HSP90AA1,STIP1,HSP90AB1,AR,PTGES3,NR3C1,PGR,NR3C2,HSPA8,HSPA2,HSPA1A,HSPA1L,HSPA1B,ACTR1A,MAPK3,MAPK1,DYNLL2,FOXA1,EP300,DYNLL1,TLE3,CAPZA1,NRIP1,DCTN1,FKBP5,ACTR10,GATA3,DYNC1LI2,DYNC1LI1,DYNC1I2,DCTN5,DYNC1H1,DYNC1I1,CAPZA3,DCTN6,DCTN3,NCOA3,SRC,UBE2I,FKBP4",328,"72,79,74,13,6,1,1,6,1,2,1,5,58,1,4,3,1","89,31,86,10,6,1,1,33,1,3,2,1,2,1,1,4,2,2,3,1,2,3,1,2,34,1,1,1,1,1,1,1,4,4,1,3,6,1,1,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,3,5,1,2",32,tumorsupressor,1,0,,,
281,ELF3,2,"MMP9,CLDN7",135,"81,54","32,5",0,TF,0,0,,,
282,CDH1,1,ESR1,72,72,89,0,"oncogene, tumorsupressor",0,0,,,
283,KRT19,54,"ESR1,SP1,KLF4,MAPK11,MAPK14,EPCAM,KRT79,KRT4,KRT78,KRT6B,KRT73,KRT77,KRT72,KRT85,KRT6A,KRT82,KRT3,KRT2,KRT6C,KRT17,KRT80,KRT74,KRT81,KRT28,KRT76,KRT71,KRT15,KRT1,KRT5,KRT14,KRT86,KRT84,KRT32,KRT38,KRT16,KRT75,KRT8,KRT7,KRT37,KRT40,KRT83,KRT36,KRT13,KRT26,KRT23,KRT9,KRT10,KRT24,KRT34,KRT12,KRT18,KRT19,KRT20,KRT33A",195,"72,13,2,54,54","89,10,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,3,6,2,2",4,,0,0,,,
284,CLDN7,54,"RUNX3,HDAC1,ELF3,CTBP1,ING1,RPL23,M1AP,PI4K2B,PKP3,PRSS8,SPINT1,ST14,TACSTD2,CD81,SCARB1,CCDC102A,CDH1,EPCAM,KRT19,KRT18,RAB25,KRT8,SNAI1,CLDN12,CLDN23,CLDN14,CLDN16,CLDN5,CLDN6,CLDN2,CLDN19,CLDN3,CLDN9,CLDN10,CLDN4,CLDN18,CLDN8,CLDN15,CLDN1,CLDN17,CLDN22,CLDN7,CLDN20,OCLN,ESAM,CLDN25,TJP1,CLDN24,F11R,TJP3,TJP2,WNK4,MARVELD2,CLDN11",120,"2,6,2,1,1,54,54","2,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,6,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1",44,,2,3,,,
285,CREM,2,"FOS,PLAT",74,74,"86,9",0,TF,0,0,,,
286,FOXA1,1,FOS,74,74,86,0,oncogene,0,0,,,
287,GATA3,3,"ESR1,DLC1,MUC1",183,"72,52,59","89,2,10",0,cigene,0,0,,,
288,YY1,2,"ERBB2,SERPINE1",150,"79,71","31,24",0,oncogene,0,0,,,
289,DUSP1,1,PGR,58,58,34,0,,0,0,,,
290,ETS1,2,"MMP9,EGR1",147,"81,66","32,106",0,"oncogene, tumorsupressor, cigene",0,0,,,
291,STAT5A,1,ESR1,72,72,89,0,tumorsupressor,0,0,,,
292,CREB1,4,"ERBB2,FOS,PLAT,JUN",159,"79,74,6","31,86,9,33",0,oncogene,0,0,,,
293,IL6,1,EGR1,66,66,106,0,,0,0,,,
294,STAT5B,1,ESR1,72,72,89,0,TF,0,0,,,
295,ESR1,72,"ESR1,KRT19,SERPINE1,FOS,PGR,ID4,XBP1,TWIST1,TP53,TFAP2C,STAT5B,STAT5A,SP1,RUNX2,PIAS3,NR2E3,NKX3-1,NCOR1,MTA1,MECP2,LEF1,KDM4B,HDAC9,HDAC7,HDAC1,GATA3,BRCA1,BARX2,BARD1,ARNT,NCOA7,NCOA2,PHB2,CCNT1,KDM1A,CARM1,NR0B2,PELP1,ZNF217,PPARGC1A,JUN,MAPK3,SMAD3,HSP90AA1,STAT1,SRC,IGF1,TERT,NCOR2,HSP90AB1,IGF1R,NRIP1,AKT1,CCND1,GAPDH,SMAD4,NOS3,PIK3CA,STK11,NCOA3,MED1,NCOA1,BCAR1,STUB1,MAPK1,MYC,EP300,CREBBP,FOXA1,TFF1,GREB1,JUNB",474,"72,54,71,74,58,52,1,2,4,2,1,1,13,1,2,1,2,1,2,1,2,1,1,1,6,3,5,1,1,3,1,1,6,3,2,1,4,3,1,1,4,4,1,1,1,1","89,6,24,86,34,6,1,2,5,2,2,2,10,1,3,1,3,2,3,1,2,1,1,2,6,5,5,1,1,2,1,1,1,1,2,1,2,1,1,1,33,4,4,3,3,5,3,1,2,2,1,2,2,2,1,2,1,4,1,3,2,2,1,2,4,1,6,1,3,1,1,9",26,TF,6,5,,,
296,SP1,13,"BIRC5,MMP9,KRT5,ESR1,ERBB2,KRT19,SERPINE1,EGR1,FOS,PGR,PLAT,ID4,KRT14",735,"74,81,54,72,79,54,71,66,74,58,52","26,32,5,89,31,6,24,106,86,34,9,6,4",0,TF,0,0,,,
297,RELA,6,"BIRC5,MMP9,SERPINE1,EGR1,PGR,JUNB",351,"74,81,71,66,58,1","26,32,24,106,34,9",0,cigene,0,0,,,
298,ELK1,2,"ERBB2,FOS",153,"79,74","31,86",0,oncogene,0,0,,,
299,ETS2,2,"MMP9,EGR1",147,"81,66","32,106",0,oncogene,0,0,,,
300,ESR2,3,"SERPINE1,FOS,JUN",151,"71,74,6","24,86,33",0,"oncogene, tumorsupressor, cigene",0,0,,,
301,CCND1,4,"ESR1,EGR1,FOS,PGR",270,"72,66,74,58","89,106,86,34",0,"oncogene, cigene",0,0,,,
302,TNF,1,EGR1,66,66,106,0,,0,0,,,
303,JUND,2,"ERBB2,PLAT",79,79,"31,9",0,oncogene,0,0,,,
304,EP300,4,"BIRC5,MMP9,ERBB2,EGR1",300,"74,81,79,66","26,32,31,106",0,TF,0,0,,,
305,CDK5R1,1,EGR1,66,66,106,0,,0,0,,,
306,FOS,74,"MMP9,FOS,PGR,ESR1,ZBTB7A,TWIST2,TWIST1,TBP,STAT6,STAT3,SRF,SP1,SMARCA4,RBMX,RB1,NKX3-1,NF1,NCOA6,MITF,JUN,HSF2,HOPX,HMGN1,HDAC1,GTF2I,ESR2,ELK4,ELK1,CREM,CREB1,BRCA1,ARNT,AHR,TNFRSF11A,NFATC3,NFATC2,FOXA1,HIST1H2BA,H2AFZ,GATA3,MAPK10,MAPK9,YY1,DUSP1,MAPK3,ETS1,STAT5A,SMAD3,TP53,IL6,ATF2,STAT5B,EGR1,NR3C1,RELA,MAPK8,TGFB1,ETS2,TNFSF11,MAPK14,CCND1,TNF,JUND,CCL2,HMOX1,EP300,PPARG,NOTCH1,NFATC1,FOSB,GATA2,CEBPA,JUNB,MAPK1",472,"81,74,58,72,1,1,2,1,2,5,2,13,1,4,2,2,2,1,1,6,1,1,1,6,1,3,1,2,2,4,5,3,1,1,3,2,1,2,1,3,4,1,2,1,66,6,2,4,1,2,4,3,1","32,86,34,89,1,1,2,1,3,5,2,10,1,2,2,3,1,1,1,33,1,1,1,6,1,2,1,2,1,2,5,2,1,1,2,2,3,1,1,5,1,1,4,1,4,3,2,4,5,2,2,2,106,2,6,2,2,3,1,2,2,2,5,1,1,6,4,2,2,2,1,1,9,4",25,"oncogene, cigene",2,4,,,
307,JUNB,1,ESR1,72,72,89,0,oncogene,0,0,,,
308,HDAC1,6,"BIRC5,MMP9,ESR1,EGR1,FOS,CLDN7",421,"74,81,72,66,74,54","26,32,89,106,86,5",0,oncogene,0,0,,,
309,TP53,4,"BIRC5,ESR1,EGR1,FOS",286,"74,72,66,74","26,89,106,86",0,tumorsupressor,0,0,,,
310,MTA1,2,"MMP9,ESR1",153,"81,72","32,89",0,TF,0,0,,,
311,JUN,6,"MMP9,FOS,PGR,ESR1,PLAT,JUN",291,"81,74,58,72,6","32,86,34,89,9,33",0,"oncogene, cigene",0,0,,,
312,SNAI2,1,MMP9,81,81,32,0,TF,0,0,,,
313,PPARG,3,"MMP9,SERPINE1,EGR1",218,"81,71,66","32,24,106",0,"oncogene, tumorsupressor, cigene",0,0,,,
314,IRF1,1,MMP9,81,81,32,0,tumorsupressor,0,0,,,
315,HDAC7,1,ESR1,72,72,89,0,TF,0,0,,,
316,EGR1,66,"TP53,STAT6,STAT1,SP1,RELA,RBMX,NKX2-3,NFKB1,NAB2,MAML1,KLF5,HDAC1,FOXO1,ETS2,ETS1,BRCA1,ATF5,NFATC2,NFATC3,IRF8,IRF4,IRF2,STAT2,ISG15,IRF7,OASL,MX1,IFIT1,IFIT2,IRF5,IFI6,IFIT3,CDK5R1,FOS,MAPK3,IRF3,NFATC1,FOSB,JUNB,RNASEL,MAPK1,HDAC2,HDAC3,KDM1A,RBBP7,RBBP4,NR2E1,EZH2,RCOR1,HDAC5,MTA1,CHD4,CHD3,JUN,ATF2,EED,MTA3,EGR1,REST,SUZ12,SNAI1,SNAI2,PPARG,PHC3,IRF1,HDAC7",220,"4,2,2,13,6,4,1,6,1,1,4,6,1,2,2,5,1,1,74,1,1,2,6,2,66,1,3,1,1","5,3,3,10,6,2,1,4,1,1,4,6,1,3,3,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,86,4,1,2,2,9,1,4,1,1,2,1,1,1,2,1,1,3,1,1,33,2,1,1,106,1,1,2,2,4,1,2,2",34,tumorsupressor,4,1,,,
317,ARNTL2,1,SERPINE1,71,71,24,0,TF,0,0,,,
318,VEGFA,3,"ESR1,EGR1,PGR",196,"72,66,58","89,106,34",0,tumorsupressor,0,0,,,
319,FN1,1,EGR1,66,66,106,0,,0,0,,,
320,PDGFB,1,EGR1,66,66,106,0,oncogene,0,0,,,
321,IGF2,1,EGR1,66,66,106,0,oncogene,0,0,,,
322,SMAD3,3,"MMP9,SERPINE1,JUN",158,"81,71,6","32,24,33",0,tumorsupressor,0,0,,,
323,PLAU,2,"EGR1,FOS",140,"66,74","106,86",0,,0,0,,,
324,PLAUR,2,"EGR1,FOS",140,"66,74","106,86",0,cigene,0,0,,,
325,SMAD7,2,"FOS,KRT14",74,74,"86,4",0,TF,0,0,,,
326,SMAD4,3,"SERPINE1,FOS,JUN",151,"71,74,6","24,86,33",0,tumorsupressor,0,0,,,
327,SERPINE1,71,"ESR1,YY1,USF1,TGIF1,SRF,SP1,SMAD4,SMAD3,RELA,PPARG,PPARA,PARP1,NR4A1,NR0B2,NFKB1,KLF5,KLF10,HSF1,HIF1A,ESR2,EPAS1,E2F1,ARNTL2,CLOCK,ARNTL,VLDLR,ITGAV,ITGB3,TGFB1,THBS1,EGF,SERPINE1,VEGFA,FN1,PLG,HGF,ALB,IGF1,A2M,SPARC,VWF,TGFB2,PF4,VEGFC,TGFB3,PDGFB,IGF2,PPBP,KNG1,AHSG,CFD,SERPINF2,SRGN,PROS1,F13A1,ORM1,ACTN4,F8,FGB,FGA,FGG,HRG,F5,PLAU,PLAUR,PLAT,SMAD2,LRP1,VTN,SMAD7,TIMP1",221,"72,2,2,1,2,13,3,3,6,3,2,2,1,1,6,4,1,2,3,3,1,4,1,71,3,1,1,1,2,2,2","89,4,1,1,2,10,2,4,6,4,2,1,1,2,4,4,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,24,3,1,2,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,2",45,,4,3,,,
328,EGFR,3,"ESR1,EGR1,PGR",196,"72,66,58","89,106,34",0,"oncogene, cigene",0,0,,,
329,STAT3,5,"BIRC5,MMP9,MUC1,FOS,JUNB",289,"74,81,59,74,1","26,32,10,86,9",0,"oncogene, tumorsupressor, cigene",0,0,,,
330,MUC1,59,"ZEB1,STAT3,PIAS4,PIAS3,PIAS2,PIAS1,HIF1A,GATA3,AR,ST3GAL4,EGFR,CLEC10A,ST3GAL2,ST6GALNAC4,ST3GAL1,ST3GAL3,ST6GALNAC3,GALNT13,GALNT18,ST6GALNAC2,MUC1,MUC16,MUC5B,MUC5AC,MUC4,MUC6,MUC7,MUC20,MUC13,MUC12,MUC17,MUC3A,MUC21,MUC15,MUCL1,B3GNT3,GCNT1,B3GNT6,C1GALT1,C1GALT1C1,GALNT6,GALNT4,GALNT15,GALNT7,GALNT3,GCNT3,GALNT5,GALNT8,GALNT10,GALNT12,GALNT2,GALNT14,GALNT16,GALNT1,GALNT9,GALNTL6,GALNTL5,GALNT11,ST6GAL1",85,"2,5,1,2,1,1,3,3,5,3,59","1,5,1,3,1,1,2,5,3,1,2,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",52,"oncogene, tumorsupressor",2,1,,,
331,ATF2,2,"PLAT,JUN",6,6,"9,33",0,Activation,0,0,,,
332,WT1,2,"JUNB,JUN",7,"1,6","9,33",0,"TF, oncogene",0,0,,,
333,ABL1,1,JUN,6,6,33,0,"Activation, oncogene",0,0,,,
334,GLI1,1,JUN,6,6,33,0,"TF, cigene, oncogene",0,0,,,
335,GLI2,1,JUN,6,6,33,0,"TF, oncogene",0,0,,,
336,HDAC3,1,JUN,6,6,33,0,Repression,0,0,,,
337,HDAC4,1,JUN,6,6,33,0,Activation,0,0,,,
338,MEF2A,1,JUN,6,6,33,0,Activation,0,0,,,
339,MEF2C,1,JUN,6,6,33,0,"Activation, oncogene",0,0,,,
340,MEF2D,1,JUN,6,6,33,0,Activation,0,0,,,
341,NFIC,1,JUN,6,6,33,0,TF,0,0,,,
342,NFRKB,1,JUN,6,6,33,0,Activation,0,0,,,
343,PITX1,1,JUN,6,6,33,0,Repression,0,0,,,
344,RUNX1,1,JUN,6,6,33,0,"Activation, oncogene",0,0,,,
345,TNFAIP3,1,JUN,6,6,33,0,Repression,0,0,,,
346,ZNF382,1,JUN,6,6,33,0,"Repression, tumorsupressor",0,0,,,
347,ZNF383,1,JUN,6,6,33,0,Repression,0,0,,,
348,MEN1,1,JUND,2,2,5,0,Repression,0,0,,,
349,ZIC1,1,JUND,2,2,5,0,Activation,0,0,,,
